ID da Questão,Total de Tentativas,Sequência de Retenção,Coeficiente (EF),Intervalo (Dias),Última Dificuldade,Próxima Revisão
Q3636477,1,0,1.96,1,4,15/07/2026
Q3731693,1,0,1.96,1,4,15/07/2026
Q3661912,1,0,1.96,1,4,15/07/2026
Q3749135,1,0,1.96,1,4,15/07/2026
Q3160536,1,0,1.96,1,4,15/07/2026
Q4156226,1,0,1.96,1,4,15/07/2026
Q3119832,1,0,1.96,1,4,15/07/2026
Q3517238,1,0,1.96,1,4,15/07/2026
Q4336872,1,1,2.6,1,0,15/07/2026
Q3360927,1,1,2.6,1,0,15/07/2026
Q3534845,1,1,2.6,1,0,15/07/2026
Q3787918,1,1,2.6,1,0,16/07/2026
Q3489825,1,1,2.6,1,0,16/07/2026
Q3516725,1,1,2.5,1,1,16/07/2026
Q3450559,1,0,1.96,1,4,16/07/2026
Q2958150,1,1,2.5,1,1,16/07/2026
Q3119888,1,1,2.5,1,1,16/07/2026
Q3517860,1,1,2.6,1,0,16/07/2026
Q1854104,1,1,2.36,1,2,16/07/2026
Q3251339,1,0,2.18,1,3,16/07/2026
Q3477570,1,0,2.18,1,3,16/07/2026
Q3359043,1,0,1.96,1,4,16/07/2026
